"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
48242-004,Knowledge for Solutions - South-South Knowledge Sharing Program (Subproject 2),Regional,Sovereign,Technical Assistance,Closed,8831,08/12/2014,12/8/2014,"410,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kang, Young Uck",,,
48242-004,Knowledge for Solutions - South-South Knowledge Sharing Program (Subproject 2),Regional,Sovereign,Technical Assistance,Closed,8831,08/12/2014,12/8/2014,"410,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kang, Young Uck",,,
45072-001,Innovations for More Food with Less Water,Regional,Sovereign,Technical Assistance,Closed,7967,08/12/2011,12/8/2011,0,Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Asian Development Bank,"Gore, Lance W.",,,
45160-001,Establishing Global Research Alliances (Phase 2),Regional,Sovereign,Technical Assistance,Closed,7972,08/12/2011,12/8/2011,"1,000,000.00",Regional,"Agriculture, natural resources and rural development | Education | Industry and trade | Public sector management | Transport",Agricultural production | Education sector development | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development,,,,Economic Research and Regional Cooperation Department,Asian Development Bank,"Ginting, Edimon",,,
45072-001,Innovations for More Food with Less Water,Regional,Sovereign,Technical Assistance,Closed,7967,08/12/2011,12/8/2011,0,Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Asian Development Bank,"Gore, Lance W.",,,
45160-001,Establishing Global Research Alliances (Phase 2),Regional,Sovereign,Technical Assistance,Closed,7972,08/12/2011,12/8/2011,"1,000,000.00",Regional,"Agriculture, natural resources and rural development | Education | Industry and trade | Public sector management | Transport",Agricultural production | Education sector development | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development,,,,Economic Research and Regional Cooperation Department,Asian Development Bank,"Ginting, Edimon",,,
45072-001,Innovations for More Food with Less Water,Regional,Sovereign,Technical Assistance,Closed,7967,08/12/2011,12/8/2011,0,Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Asian Development Bank,"Gore, Lance W.",,,
45160-001,Establishing Global Research Alliances (Phase 2),Regional,Sovereign,Technical Assistance,Closed,7972,08/12/2011,12/8/2011,"1,000,000.00",Regional,"Agriculture, natural resources and rural development | Education | Industry and trade | Public sector management | Transport",Agricultural production | Education sector development | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development,,,,Economic Research and Regional Cooperation Department,Asian Development Bank,"Ginting, Edimon",,,
45072-001,Innovations for More Food with Less Water,Regional,Sovereign,Technical Assistance,Closed,7967,08/12/2011,12/8/2011,0,Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Asian Development Bank,"Gore, Lance W.",,,
45160-001,Establishing Global Research Alliances (Phase 2),Regional,Sovereign,Technical Assistance,Closed,7972,08/12/2011,12/8/2011,"1,000,000.00",Regional,"Agriculture, natural resources and rural development | Education | Industry and trade | Public sector management | Transport",Agricultural production | Education sector development | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development,,,,Economic Research and Regional Cooperation Department,Asian Development Bank,"Ginting, Edimon",,,
45072-001,Innovations for More Food with Less Water,Regional,Sovereign,Technical Assistance,Closed,7967,08/12/2011,12/8/2011,0,Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Asian Development Bank,"Gore, Lance W.",,,
45160-001,Establishing Global Research Alliances (Phase 2),Regional,Sovereign,Technical Assistance,Closed,7972,08/12/2011,12/8/2011,"1,000,000.00",Regional,"Agriculture, natural resources and rural development | Education | Industry and trade | Public sector management | Transport",Agricultural production | Education sector development | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development,,,,Economic Research and Regional Cooperation Department,Asian Development Bank,"Ginting, Edimon",,,
45072-001,Innovations for More Food with Less Water,Regional,Sovereign,Technical Assistance,Closed,7967,08/12/2011,12/8/2011,0,Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Asian Development Bank,"Gore, Lance W.",,,
45160-001,Establishing Global Research Alliances (Phase 2),Regional,Sovereign,Technical Assistance,Closed,7972,08/12/2011,12/8/2011,"1,000,000.00",Regional,"Agriculture, natural resources and rural development | Education | Industry and trade | Public sector management | Transport",Agricultural production | Education sector development | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development,,,,Economic Research and Regional Cooperation Department,Asian Development Bank,"Ginting, Edimon",,,
43067-012,Management and Policy Support to Combat Land Degradation,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7439,08/12/2009,12/8/2009,"200,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,National Forestry and Grassland Administration,"Radstake, Frank",,,
42515-012,Multistate and Multisector Project Management Capacity Building,India,Sovereign,Technical Assistance,Closed,7413,08/12/2009,12/8/2009,"1,200,000.00",,"Agriculture, natural resources and rural development | Energy | Finance | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Finance sector development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Arora, Chandra",,,
43067-012,Management and Policy Support to Combat Land Degradation,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7439,08/12/2009,12/8/2009,"200,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,National Forestry and Grassland Administration,"Radstake, Frank",,,
42515-012,Multistate and Multisector Project Management Capacity Building,India,Sovereign,Technical Assistance,Closed,7413,08/12/2009,12/8/2009,"1,200,000.00",,"Agriculture, natural resources and rural development | Energy | Finance | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Finance sector development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Arora, Chandra",,,
43067-012,Management and Policy Support to Combat Land Degradation,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7439,08/12/2009,12/8/2009,"200,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,National Forestry and Grassland Administration,"Radstake, Frank",,,
42515-012,Multistate and Multisector Project Management Capacity Building,India,Sovereign,Technical Assistance,Closed,7413,08/12/2009,12/8/2009,"1,200,000.00",,"Agriculture, natural resources and rural development | Energy | Finance | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Finance sector development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Arora, Chandra",,,
43067-012,Management and Policy Support to Combat Land Degradation,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7439,08/12/2009,12/8/2009,"200,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,National Forestry and Grassland Administration,"Radstake, Frank",,,
42515-012,Multistate and Multisector Project Management Capacity Building,India,Sovereign,Technical Assistance,Closed,7413,08/12/2009,12/8/2009,"1,200,000.00",,"Agriculture, natural resources and rural development | Energy | Finance | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Finance sector development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Arora, Chandra",,,
43067-012,Management and Policy Support to Combat Land Degradation,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7439,08/12/2009,12/8/2009,"200,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,National Forestry and Grassland Administration,"Radstake, Frank",,,
